la_code,la_control_2017
E07000223,CON
E07000032,CON
E07000224,CON
E07000170,LAB
E07000105,CON
E07000004,CON
E07000200,CON
E07000027,LAB
E07000066,NOC
E07000084,CON
E07000171,LAB
E07000129,CON
E07000033,LAB
E07000136,NOC
E07000067,CON
E07000143,CON
E07000068,CON
E07000144,CON
E07000234,CON
E07000095,CON
E07000172,CON
E07000117,LAB
E07000008,LAB
E07000192,NOC
E07000106,CON
E07000028,LAB
E07000069,CON
E07000130,CON
E07000070,CON
E07000078,LD
E07000177,CON
E07000034,LAB
E07000225,CON
E07000005,CON
E07000118,LAB
E07000048,CON
E07000071,NOC
E07000029,LAB
E07000150,LAB
E07000079,CON
E07000163,CON
E07000226,LAB
E07000096,CON
E07000107,CON
E07000151,CON
E07000035,CON
N09000005,NOC
E07000108,CON
E07000009,CON
E07000040,CON
E07000049,CON
E07000085,CON
E07000242,CON
E07000137,CON
E07000152,CON
E07000193,CON
E07000061,LD
E07000086,LD
E07000030,CON
E07000207,NOC
E07000072,CON
E07000208,OTHER
E07000036,CON
E07000041,LAB
E07000087,CON
E07000010,CON
E07000201,CON
E07000080,NOC
E07000119,CON
E07000173,LAB
E07000081,CON
E07000088,CON
E07000109,CON
E07000145,NOC
E07000209,CON
E07000164,CON
E07000131,CON
E07000073,LAB
E07000165,CON
E07000089,NOC
E07000062,LAB
E07000090,CON
E07000098,CON
E07000037,CON
E07000132,CON
E07000227,CON
E07000011,CON
E07000120,CON
E07000202,LAB
E07000153,CON
E07000146,CON
E07000121,NOC
E07000063,CON
E07000194,CON
E07000138,LAB
E07000110,NOC
E07000074,CON
E07000235,CON
E07000174,NOC
E07000133,CON
E07000187,CON
E07000042,CON
E07000203,CON
E07000228,CON
E07000210,CON
E07000091,CON
E07000175,CON
E07000195,NOC
E07000043,NOC
E07000050,CON
E07000038,LAB
E07000099,CON
E07000139,CON
E07000147,CON
E07000218,CON
E07000134,CON
E07000154,CON
E07000148,LAB
E07000219,LAB
E07000135,LD
E07000178,LAB
E07000122,NOC
E07000123,LAB
E07000051,CON
E07000236,LAB
E07000211,CON
E07000124,CON
E07000166,CON
E07000075,CON
E07000125,LAB
E07000064,CON
E07000220,NOC
E07000212,CON
E07000176,CON
E07000092,CON
E07000167,NOC
E07000168,CON
E07000188,CON
E07000169,CON
E07000111,CON
E07000112,CON
E07000006,CON
E07000012,CON
E07000039,CON
E07000044,CON
E07000140,CON
E07000141,CON
E07000031,LD
E07000149,CON
E07000155,CON
E07000179,CON
E07000126,CON
E07000189,NOC
E07000196,CON
E07000213,CON
E07000240,CON
E07000204,CON
E07000197,CON
E07000198,CON
E07000243,LAB
E07000221,CON
E07000082,NOC
E07000205,CON
E07000214,CON
E07000113,CON
E07000199,CON
E07000215,CON
E07000190,CON
E07000045,CON
E07000076,NOC
E07000093,CON
E07000083,CON
E07000114,UKIP
E07000102,NOC
E07000115,CON
E07000046,CON
E07000116,CON
E07000077,CON
E07000180,CON
E07000222,CON
E07000103,LD
E07000206,CON
E07000216,CON
E07000065,CON
E07000156,CON
E07000241,CON
E07000047,CON
E07000052,CON
E07000127,LAB
E07000142,CON
E07000181,CON
E07000191,CON
E07000053,NOC
E07000094,CON
E07000217,CON
E07000237,NOC
E07000229,CON
E07000238,CON
E07000007,CON
E07000128,CON
E07000239,CON
,CON
,CON
,NOC
,CON
,CON
,CON
,CON
,CON
,CON
,CON
,CON
,CON
,CON
,CON
,CON
,CON
,CON
,CON
,NOC
,NOC
,CON
,CON
,CON
,CON
,CON
,CON
,CON
E09000002,LAB
E09000003,CON
E09000004,CON
E09000005,LAB
E09000006,CON
E09000007,LAB
E09000001,NPC
E09000008,LAB
E09000009,LAB
E09000010,LAB
E09000011,LAB
E09000012,LAB
E09000013,LAB
E09000014,LAB
E09000015,LAB
E09000016,NOC
E09000017,CON
E09000018,LAB
E09000019,LAB
E09000020,CON
E09000021,CON
E09000022,LAB
E09000023,LAB
E09000024,LAB
E09000025,LAB
E09000026,LAB
E09000027,CON
E09000028,LAB
E09000029,LD
E09000030,NOC
E09000031,LAB
E09000032,CON
E09000033,CON
E08000016,LAB
E06000022,CON
E06000055,NOC
E08000025,LAB
E06000008,LAB
E06000009,LAB
E08000001,LAB
E06000028,CON
E06000036,CON
E08000032,LAB
E06000043,NOC
E06000023,LAB
E08000002,LAB
E08000033,NOC
E06000056,CON
E06000049,CON
E06000050,LAB
E06000052,NOC
E08000026,LAB
E06000005,LAB
E06000015,LAB
E08000017,LAB
E08000027,NOC
E06000047,LAB
E06000011,CON
E08000037,LAB
E06000006,LAB
E06000001,LAB
E06000019,CON
E06000046,CON
E06000010,LAB
E08000034,NOC
E08000011,LAB
E08000035,LAB
E06000016,LAB
E08000012,LAB
E06000032,LAB
E08000003,LAB
E06000035,CON
E06000002,LAB
E06000042,NOC
E08000021,LAB
E06000012,NOC
E06000013,CON
E06000024,CON
E08000022,LAB
E06000057,NOC
E06000018,LAB
E08000004,LAB
E06000031,CON
E06000026,NOC
E06000029,CON
E06000044,NOC
E06000038,LAB
E06000003,NOC
E08000005,LAB
E08000018,LAB
E06000017,CON
E08000006,LAB
E08000028,LAB
E08000014,LAB
E08000019,LAB
E06000051,CON
E06000039,LAB
E08000029,CON
E06000025,CON
E08000023,LAB
E06000045,LAB
E06000033,NOC
E08000013,LAB
E08000007,NOC
E06000004,LAB
E06000021,NOC
E08000024,LAB
E06000030,CON
E08000008,LAB
E06000020,LAB
E06000034,NOC
E06000027,CON
E08000009,CON
E08000036,LAB
E08000030,NOC
E06000007,LAB
E06000037,CON
E08000010,LAB
E06000054,CON
E06000040,CON
E08000015,LAB
E06000041,CON
E08000031,LAB
E06000014,NOC